fonte_dados,cod_estacao,ano_alvo,estacao_mp10,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia,estacao_historica,nota,n_registros_ano,n_registros_com_valor_ano,n_registros_sem_valor_ano,n_datas_com_registro_ano,n_meses_com_registro_ano,precipitacao_min_ano,precipitacao_max_ano,ano_tem_dados,ano_12_meses,ano_300_dias,ano_330_dias
CEMADEN,260720801G,2021,EDCUPE,Campo do Avião,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.399458,-8.399431,-35.058456,-35.058455,53642,2019-10-01T16:00:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1580,0,-8.3994445,-35.0584555,2.69999999993331e-05,9.99999997475243e-07,FALSE,2019,2025,7,4,4,4,286.857142857143,1,1,13,Ipojuca,-8.39754,-35.04313,1.69909448841243,<=5 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10328,10328,0,365,12,0,13.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260720801A,2021,EDCUPE,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,0,0,FALSE,2017,2025,9,7,7,7,331.111111111111,1,1,13,Ipojuca,-8.39754,-35.04313,2.31199229299342,<=5 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10977,10977,0,365,12,0,11.59,TRUE,TRUE,TRUE,TRUE
CEMADEN,260720804A,2021,EDCUPE,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,0,0,FALSE,2017,2025,9,8,6,6,306,1,1,13,Ipojuca,-8.39754,-35.04313,3.31306361103069,<=5 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10715,10715,0,365,12,0,12.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260290204A,2021,EDCUPE,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.33,-34.956,0,0,FALSE,2017,2025,9,6,6,6,301.777777777778,1,1,13,Ipojuca,-8.39754,-35.04313,12.1770872579976,>10-20 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10490,10490,0,361,12,0,16.89,TRUE,TRUE,TRUE,TRUE
CEMADEN,260290203A,2021,EDCUPE,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0,-8.287,-35.033,0,0,FALSE,2017,2025,9,5,4,4,280.333333333333,1,1,13,Ipojuca,-8.39754,-35.04313,12.3419267993948,>10-20 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10811,10811,0,365,12,0,17.89,TRUE,TRUE,TRUE,TRUE
CEMADEN,260720802A,2021,EDCUPE,Camela,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.511,-8.511,-35.122,-35.122,44193,2017-01-01T03:00:00Z,2022-06-13T13:10:00Z,2017;2018;2019;2020;2021;2022,0,0,2,0,-8.511,-35.122,0,0,FALSE,2017,2022,6,2,3,2,246.833333333333,1,1,13,Ipojuca,-8.39754,-35.04313,15.3107152412702,>10-20 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,8961,8961,0,359,12,0,11.79,TRUE,TRUE,TRUE,TRUE
CEMADEN,260290205A,2021,EDCUPE,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.233,-8.233,-34.979,-34.979,61197,2017-01-01T03:00:00Z,2025-03-26T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.233,-34.979,0,0,FALSE,2017,2025,9,5,5,4,252.333333333333,1,1,13,Ipojuca,-8.39754,-35.04313,19.6094816469432,>10-20 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10742,10742,0,365,12,0,16.2,TRUE,TRUE,TRUE,TRUE
CEMADEN,260520201A,2021,EDCUPE,Jaguaribe,ESCADA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.369,-8.369,-35.241,-35.241,96156,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1680,0,-8.369,-35.241,0,0,FALSE,2017,2025,9,8,8,8,348,1,1,13,Ipojuca,-8.39754,-35.04313,21.9971983216112,>20-30 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,11054,11054,0,365,12,0,11.6,TRUE,TRUE,TRUE,TRUE
CEMADEN,261420401A,2021,EDCUPE,Centro,SIRINHAÉM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.592,-8.592,-35.116,-35.116,81298,2017-01-01T03:00:00Z,2025-12-31T15:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,544,0,-8.592,-35.116,0,0,FALSE,2017,2025,9,8,8,7,341.666666666667,1,1,13,Ipojuca,-8.39754,-35.04313,23.0602761438403,>20-30 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,10651,10651,0,362,12,0,11.58,TRUE,TRUE,TRUE,TRUE
CEMADEN,260790104A,2021,EDCUPE,Prazeres,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.188,-8.188,-34.953,-34.953,82109,2017-01-01T03:00:00Z,2025-12-27T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,348,0,-8.188,-34.953,0,0,FALSE,2017,2025,9,7,6,6,301.111111111111,1,1,13,Ipojuca,-8.39754,-35.04313,25.322572151003,>20-30 km,CUPE,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,11408,11408,0,365,12,0,15.12,TRUE,TRUE,TRUE,TRUE
