ano,cod_estacao,no_estacao,lag_dias,n_pares,autocorrelacao
2018,14,IFPE,1,270,0.43907494255458
2018,14,IFPE,2,266,0.250873044886075
2018,14,IFPE,3,263,0.220395612435184
2018,14,IFPE,7,251,0.0674437331792186
2018,14,IFPE,14,230,0.113907673277572
2018,14,IFPE,30,186,0.00227359818198044
2019,PE01,Gaibu,1,247,0.557116758077256
2019,PE01,Gaibu,2,245,0.272991100761404
2019,PE01,Gaibu,3,238,0.151776067884756
2019,PE01,Gaibu,7,225,0.10995193477151
2019,PE01,Gaibu,14,204,-0.026174280448918
2019,PE01,Gaibu,30,160,-0.0394228412399421
2021,13,CUPE,1,341,0.48814071738225
2021,13,CUPE,2,337,0.393690088209827
2021,13,CUPE,3,334,0.293950126271882
2021,13,CUPE,7,326,0.182764204072033
2021,13,CUPE,14,318,0.0445649371755091
2021,13,CUPE,30,301,0.16603340695994
2021,12,IPOJUCA,1,321,0.723716815513206
2021,12,IPOJUCA,2,317,0.665710551506952
2021,12,IPOJUCA,3,312,0.55872286629879
2021,12,IPOJUCA,7,301,0.519396150242088
2021,12,IPOJUCA,14,287,0.482621114772947
2021,12,IPOJUCA,30,267,0.393482278830806
2022,16,SUAPE,1,324,0.537152794411199
2022,16,SUAPE,2,321,0.258648054150446
2022,16,SUAPE,3,319,0.173117043221046
2022,16,SUAPE,7,313,0.121554562679868
2022,16,SUAPE,14,307,-0.00182516835852807
2022,16,SUAPE,30,296,0.238106081014311
2025,12,IPOJUCA,1,286,0.474530051729315
2025,12,IPOJUCA,2,274,0.228888259946199
2025,12,IPOJUCA,3,271,0.228367461725619
2025,12,IPOJUCA,7,261,0.194782812182563
2025,12,IPOJUCA,14,258,0.0786839962909803
2025,12,IPOJUCA,30,248,0.111417518706932
