ano,cod_estacao,no_estacao,mes,mes_nome,n_dias_calendario,n_dias_validos,pct_dias_validos,media_mensal_descritiva,mediana_mensal,desvio_padrao_mensal,cv_mensal_pct,p25,p75,p95,referencia_anual,diferenca_mensal_vs_ref,diferenca_mensal_vs_ref_pct,minimo_dias_mma,mes_representativo_mma
2018,14,IFPE,1,Jan,31,31,100,22.1954969902763,22.9583333333333,4.85645116324321,21.8803443120503,17.875,24.9375,30.75,19.5489495149826,2.64654747529367,13.5380546830167,21,TRUE
2018,14,IFPE,2,Fev,28,27,96.4285714285714,22.589252260217,20.875,7.05149745534002,31.2161614475338,18.0208333333334,26.8958333333334,32.5872549019608,19.5489495149826,3.04030274523442,15.5522563649995,19,TRUE
2018,14,IFPE,3,Mar,31,6,19.3548387096774,14.7351190476191,13.7083333333334,1.94809616201629,13.2207697523222,13.5104166666667,16.34375,17.2559523809524,19.5489495149826,-4.81383046736353,-24.6244969003278,21,FALSE
2018,14,IFPE,4,Abr,30,30,100,16.6275673400673,15.5625,3.18837855212008,19.1752556878063,14.65625,18.8598484848485,21.61875,19.5489495149826,-2.92138217491526,-14.943934315633,20,TRUE
2018,14,IFPE,5,Mai,31,31,100,18.8552530919291,19.2083333333333,3.22223406291754,17.0893174820167,15.7291666666667,21.2708333333334,23.8541666666667,19.5489495149826,-0.693696423053495,-3.5485099724762,21,TRUE
2018,14,IFPE,6,Jun,30,29,96.6666666666667,20.7418255158135,19.6666666666667,4.17094850882836,20.1088785827864,18.125,21.5,29.5416666666667,19.5489495149826,1.19287600083093,6.1019954034701,20,TRUE
2018,14,IFPE,7,Jul,31,30,96.7741935483871,17.2704365079365,16.9166666666667,2.88725946364857,16.7179298700513,15.3229166666667,18.2916666666667,22.2625,19.5489495149826,-2.27851300704609,-11.65542427382,21,TRUE
2018,14,IFPE,8,Ago,31,30,96.7741935483871,20.6657142072903,18.1041666666667,7.639484179498,36.9669497161777,16.8333333333333,21.7604166666667,30.8979166666667,19.5489495149826,1.1167646923077,5.71265832699498,21,TRUE
2018,14,IFPE,9,Set,30,25,83.3333333333333,20.2116666666667,19.5,4.51316105243156,22.3294848805058,16.7916666666667,23.125,26.2333333333333,19.5489495149826,0.662717151684078,3.39003971121907,20,TRUE
2018,14,IFPE,10,Out,31,0,0,,,,,,,,19.5489495149826,,,21,FALSE
2018,14,IFPE,11,Nov,30,5,16.6666666666667,16.1071428571429,15,3.80068030445127,23.5962413580123,14.25,17.375,21.0416666666666,19.5489495149826,-3.44180665783974,-17.6060951776559,20,FALSE
2018,14,IFPE,12,Dez,31,31,100,18.7359831029186,18.0416666666667,3.76658387310024,20.1034760354449,15.8541666666667,20.5208333333334,24.5595238095238,19.5489495149826,-0.812966412064011,-4.15861942576987,21,TRUE
2019,PE01,Gaibu,1,Jan,31,31,100,38.5657274002295,37,14.8480117581711,38.5005359916606,30.4375,41.2083333333334,66.75,40.8194100000892,-2.25368259985969,-5.52110527774598,21,TRUE
2019,PE01,Gaibu,2,Fev,28,25,89.2857142857143,32.6997258297258,32.75,11.6627320136019,35.6661461760632,23.625,42.5833333333333,49.95,40.8194100000892,-8.11968417036338,-19.8917234970952,19,TRUE
2019,PE01,Gaibu,3,Mar,31,3,9.67741935483871,27.7359098228664,21.5555555555556,11.1892613263444,40.3421463287266,21.2777777777778,31.1038647342996,38.7425120772947,40.8194100000892,-13.0835001772228,-32.0521540541479,21,FALSE
2019,PE01,Gaibu,4,Abr,30,26,86.6666666666667,38.9523497053977,37.1780303030303,14.6557219608485,37.6247442623919,28.5297619047619,48.9722222222222,65.4166666666666,40.8194100000892,-1.86706029469147,-4.57395218276646,20,TRUE
2019,PE01,Gaibu,5,Mai,31,28,90.3225806451613,48.6821818138531,48.0238095238096,19.0608898812759,39.1537297037329,38.3953804347826,54.4868421052632,87.6416666666666,40.8194100000892,7.86277181376387,19.2623357705236,21,TRUE
2019,PE01,Gaibu,6,Jun,30,29,96.6666666666667,38.31429870586,37.4782608695652,10.3959154756077,27.1332526674114,32.625,42.8571428571429,56.3333333333333,40.8194100000892,-2.50511129422924,-6.13705904672254,20,TRUE
2019,PE01,Gaibu,7,Jul,31,28,90.3225806451613,35.1474602655708,35.2291666666667,19.3194383627184,54.9668118741513,17.4471343873518,49.5416666666667,69.2,40.8194100000892,-5.67194973451844,-13.8952271346059,21,TRUE
2019,PE01,Gaibu,8,Ago,31,31,100,48.4565664767555,48.1666666666667,18.4269297333988,38.0277247712922,36.2971014492753,61.8541666666667,75.6458333333333,40.8194100000892,7.63715647666625,18.7096199495523,21,TRUE
2019,PE01,Gaibu,9,Set,30,25,83.3333333333333,42.5118020594966,41.1666666666667,10.8199541153624,25.4516477570618,36.375,49.7826086956522,56.9666666666667,40.8194100000892,1.69239205940738,4.14604733239328,20,TRUE
2019,PE01,Gaibu,10,Out,31,6,19.3548387096774,45.3382936507937,43.7916666666667,6.98549722196064,15.4074991788721,39.7931547619048,48.75,54.7916666666667,40.8194100000892,4.51888365070445,11.070428628671,21,FALSE
2019,PE01,Gaibu,11,Nov,30,24,80,41.4573326432022,38.1666666666667,10.1548559817847,24.4947162162633,36.2395833333333,43.0625,55.0029761904762,40.8194100000892,0.637922643113008,1.5627924144705,20,TRUE
2019,PE01,Gaibu,12,Dez,31,6,19.3548387096774,49.2311507936508,45.0208333333334,8.49048538500246,17.2461647719546,43.8125,51.5729166666667,61.9360119047619,40.8194100000892,8.4117407935616,20.6072081726395,21,FALSE
2021,13,CUPE,1,Jan,31,30,96.7741935483871,13.0461952015135,13.3422946859904,3.60641577192292,27.6434294920295,10.2488157894736,14.7691071428572,19.2056691176471,13.2158351775256,-0.169639976012112,-1.28361146861604,21,TRUE
2021,13,CUPE,2,Fev,28,18,64.2857142857143,12.6166112918892,11.4216007905139,5.10159480700529,40.4355392187198,8.89359974424552,17.0036180124224,21.231375,13.2158351775256,-0.599223885636402,-4.53413558497931,19,FALSE
2021,13,CUPE,3,Mar,31,29,93.5483870967742,15.4224220042385,11.3095652173913,8.56824353938216,55.557055415987,9.25416666666667,22.6058333333333,31.2106666666667,13.2158351775256,2.20658682671293,16.6965371243837,21,TRUE
2021,13,CUPE,4,Abr,30,30,100,11.9570459815547,12.278125,3.90100985956112,32.6251974407303,9.610625,13.739081027668,16.6903333333333,13.2158351775256,-1.25878919597093,-9.52485544093033,20,TRUE
