estacao_historica,ano_alvo,variavel,n_pares,pct_dias_mp10_com_par
CUPE,2021,temperatura_media_c,297,85.5907780979827
CUPE,2021,umidade_media_pct,290,83.5734870317003
CUPE,2021,velocidade_vento_media_ms,297,85.5907780979827
CUPE,2021,pressao_media_hpa,297,85.5907780979827
CUPE,2021,vento_u_medio_ms,297,85.5907780979827
CUPE,2021,vento_v_medio_ms,297,85.5907780979827
CUPE,2021,precipitacao_lag0_mm,305,87.8962536023055
CUPE,2021,precipitacao_lag1_mm,306,88.1844380403458
CUPE,2021,precipitacao_lag2_mm,304,87.6080691642651
Gaibu,2019,temperatura_media_c,262,100
Gaibu,2019,umidade_media_pct,262,100
Gaibu,2019,velocidade_vento_media_ms,165,62.9770992366412
Gaibu,2019,pressao_media_hpa,262,100
Gaibu,2019,vento_u_medio_ms,165,62.9770992366412
Gaibu,2019,vento_v_medio_ms,165,62.9770992366412
Gaibu,2019,precipitacao_lag0_mm,191,72.9007633587786
Gaibu,2019,precipitacao_lag1_mm,191,72.9007633587786
Gaibu,2019,precipitacao_lag2_mm,192,73.2824427480916
IFPE,2018,temperatura_media_c,251,91.2727272727273
IFPE,2018,umidade_media_pct,251,91.2727272727273
IFPE,2018,velocidade_vento_media_ms,251,91.2727272727273
IFPE,2018,pressao_media_hpa,251,91.2727272727273
IFPE,2018,vento_u_medio_ms,251,91.2727272727273
IFPE,2018,vento_v_medio_ms,251,91.2727272727273
IFPE,2018,precipitacao_lag0_mm,248,90.1818181818182
IFPE,2018,precipitacao_lag1_mm,247,89.8181818181818
IFPE,2018,precipitacao_lag2_mm,248,90.1818181818182
IPOJUCA,2021,temperatura_media_c,279,84.8024316109423
IPOJUCA,2021,umidade_media_pct,272,82.6747720364742
IPOJUCA,2021,velocidade_vento_media_ms,279,84.8024316109423
IPOJUCA,2021,pressao_media_hpa,279,84.8024316109423
IPOJUCA,2021,vento_u_medio_ms,279,84.8024316109423
IPOJUCA,2021,vento_v_medio_ms,279,84.8024316109423
IPOJUCA,2021,precipitacao_lag0_mm,287,87.2340425531915
IPOJUCA,2021,precipitacao_lag1_mm,286,86.9300911854103
IPOJUCA,2021,precipitacao_lag2_mm,285,86.6261398176292
IPOJUCA,2025,temperatura_media_c,312,100
IPOJUCA,2025,umidade_media_pct,184,58.974358974359
IPOJUCA,2025,velocidade_vento_media_ms,312,100
IPOJUCA,2025,pressao_media_hpa,312,100
IPOJUCA,2025,vento_u_medio_ms,312,100
IPOJUCA,2025,vento_v_medio_ms,312,100
IPOJUCA,2025,precipitacao_lag0_mm,287,91.9871794871795
IPOJUCA,2025,precipitacao_lag1_mm,289,92.6282051282051
IPOJUCA,2025,precipitacao_lag2_mm,289,92.6282051282051
