estacao_historica,ano_alvo,variavel,grupo,n_pares,pct_dias_mp10_com_par,spearman,pearson,n_pares_anomalia,spearman_anomalia_mensal,pearson_anomalia_mensal,diferenca_spearman,sinal_bruto,sinal_anomalia,sinal_mantido
CUPE,2021,precipitacao_lag0_mm,precipitacao,305,87.8962536023055,-0.324012816592758,-0.223047319953231,288,-0.245689041480327,-0.170533137634783,0.0783237751124308,negativo,negativo,TRUE
CUPE,2021,precipitacao_lag1_mm,precipitacao,306,88.1844380403458,-0.19441998523567,-0.148733198544388,289,-0.107829305151955,-0.101578563086664,0.0865906800837151,negativo,negativo,TRUE
CUPE,2021,precipitacao_lag2_mm,precipitacao,304,87.6080691642651,-0.10304777934232,-0.0530013191746636,287,0.0677351672334484,0.0119952643734176,0.170782946575769,negativo,positivo,FALSE
CUPE,2021,pressao_media_hpa,pressao,297,85.5907780979827,-0.0421473488745085,-0.0957626591457527,279,-0.0620347151252592,-0.0749563871102846,-0.0198873662507506,negativo,negativo,TRUE
CUPE,2021,temperatura_media_c,temperatura,297,85.5907780979827,0.297810688069214,0.267011935101441,279,0.257221052186155,0.165931067882636,-0.0405896358830597,positivo,positivo,TRUE
CUPE,2021,umidade_media_pct,umidade,290,83.5734870317003,-0.394536250601395,-0.283853107156914,272,-0.305479453490052,-0.181662147404847,0.0890567971113429,negativo,negativo,TRUE
CUPE,2021,velocidade_vento_media_ms,vento,297,85.5907780979827,0.330246991380041,0.213901574060066,279,0.191852842496619,0.0717960179087113,-0.138394148883422,positivo,positivo,TRUE
CUPE,2021,vento_u_medio_ms,vento_componente,297,85.5907780979827,-0.421640218620084,-0.292702153162168,279,-0.318436082953179,-0.179424636530036,0.103204135666906,negativo,negativo,TRUE
CUPE,2021,vento_v_medio_ms,vento_componente,297,85.5907780979827,0.00063028250947714,-0.0376318651086963,279,0.0268283673535135,0.0150538835707862,0.0261980848440363,positivo,positivo,TRUE
Gaibu,2019,precipitacao_lag0_mm,precipitacao,191,72.9007633587786,-0.48702502392024,-0.455505713978671,185,-0.574288432079573,-0.484543905603877,-0.0872634081593326,negativo,negativo,TRUE
Gaibu,2019,precipitacao_lag1_mm,precipitacao,191,72.9007633587786,-0.143767575098027,-0.152016919945171,185,-0.185935986754701,-0.166768854844516,-0.0421684116566743,negativo,negativo,TRUE
Gaibu,2019,precipitacao_lag2_mm,precipitacao,192,73.2824427480916,0.062145587575739,0.0507339005639422,185,-0.0377126746328036,0.0156474091202036,-0.0998582622085426,positivo,negativo,FALSE
Gaibu,2019,pressao_media_hpa,pressao,262,100,0.0482556490813782,0.0631029241930014,247,-0.0917191558254107,-0.0429573376662095,-0.139974804906789,positivo,negativo,FALSE
Gaibu,2019,temperatura_media_c,temperatura,262,100,0.154188246566815,0.158702828949505,247,0.44102240663046,0.426426493268516,0.286834160063645,positivo,positivo,TRUE
Gaibu,2019,umidade_media_pct,umidade,262,100,-0.438880694664779,-0.383797563107774,247,-0.616901447153037,-0.5488355211458,-0.178020752488258,negativo,negativo,TRUE
Gaibu,2019,velocidade_vento_media_ms,vento,165,62.9770992366412,0.201186150912787,0.204141626370286,162,0.163346259390764,0.177370895483223,-0.0378398915220236,positivo,positivo,TRUE
Gaibu,2019,vento_u_medio_ms,vento_componente,165,62.9770992366412,-0.339635293116771,-0.323676714739062,162,-0.3776194562404,-0.329314901773104,-0.0379841631236294,negativo,negativo,TRUE
Gaibu,2019,vento_v_medio_ms,vento_componente,165,62.9770992366412,0.0638597700421587,0.0301587314042532,162,-0.0281464524435727,-0.0342838144611952,-0.0920062224857314,positivo,negativo,FALSE
IFPE,2018,precipitacao_lag0_mm,precipitacao,248,90.1818181818182,-0.307426517693678,-0.24906525974515,238,-0.254234828309371,-0.160371795468926,0.053191689384307,negativo,negativo,TRUE
IFPE,2018,precipitacao_lag1_mm,precipitacao,247,89.8181818181818,-0.159578250888686,-0.126576695088222,237,-0.0622853089249864,-0.0345888156718843,0.0972929419636994,negativo,negativo,TRUE
IFPE,2018,precipitacao_lag2_mm,precipitacao,248,90.1818181818182,-0.26748580248243,-0.182164781743485,238,-0.161058598605751,-0.0979800564306886,0.106427203876679,negativo,negativo,TRUE
IFPE,2018,pressao_media_hpa,pressao,251,91.2727272727273,-0.101302479988551,-0.0850852959288803,240,-0.266331309327157,-0.205675869031822,-0.165028829338606,negativo,negativo,TRUE
IFPE,2018,temperatura_media_c,temperatura,251,91.2727272727273,0.187695983079306,0.201000668762516,240,0.251337894155197,0.282933033946548,0.0636419110758902,positivo,positivo,TRUE
