estacao_historica,ano_alvo,variavel,grupo,n_pares,spearman_anomalia_mensal,pearson_anomalia_mensal
CUPE,2021,temperatura_media_c,temperatura,279,0.257221052186155,0.165931067882636
CUPE,2021,umidade_media_pct,umidade,272,-0.305479453490052,-0.181662147404847
CUPE,2021,velocidade_vento_media_ms,vento,279,0.191852842496619,0.0717960179087113
CUPE,2021,pressao_media_hpa,pressao,279,-0.0620347151252592,-0.0749563871102846
CUPE,2021,vento_u_medio_ms,vento_componente,279,-0.318436082953179,-0.179424636530036
CUPE,2021,vento_v_medio_ms,vento_componente,279,0.0268283673535135,0.0150538835707862
CUPE,2021,precipitacao_lag0_mm,precipitacao,288,-0.245689041480327,-0.170533137634783
CUPE,2021,precipitacao_lag1_mm,precipitacao,289,-0.107829305151955,-0.101578563086664
CUPE,2021,precipitacao_lag2_mm,precipitacao,287,0.0677351672334484,0.0119952643734176
Gaibu,2019,temperatura_media_c,temperatura,247,0.44102240663046,0.426426493268516
Gaibu,2019,umidade_media_pct,umidade,247,-0.616901447153037,-0.5488355211458
Gaibu,2019,velocidade_vento_media_ms,vento,162,0.163346259390764,0.177370895483223
Gaibu,2019,pressao_media_hpa,pressao,247,-0.0917191558254107,-0.0429573376662095
Gaibu,2019,vento_u_medio_ms,vento_componente,162,-0.3776194562404,-0.329314901773104
Gaibu,2019,vento_v_medio_ms,vento_componente,162,-0.0281464524435727,-0.0342838144611952
Gaibu,2019,precipitacao_lag0_mm,precipitacao,185,-0.574288432079573,-0.484543905603877
Gaibu,2019,precipitacao_lag1_mm,precipitacao,185,-0.185935986754701,-0.166768854844516
Gaibu,2019,precipitacao_lag2_mm,precipitacao,185,-0.0377126746328036,0.0156474091202036
IFPE,2018,temperatura_media_c,temperatura,240,0.251337894155197,0.282933033946548
IFPE,2018,umidade_media_pct,umidade,240,-0.16629367351235,-0.149896622973052
IFPE,2018,velocidade_vento_media_ms,vento,240,-0.0854899053505229,-0.0799282183123403
IFPE,2018,pressao_media_hpa,pressao,240,-0.266331309327157,-0.205675869031822
IFPE,2018,vento_u_medio_ms,vento_componente,240,-0.063690786872528,-0.0948902796776983
IFPE,2018,vento_v_medio_ms,vento_componente,240,-0.277147678154221,-0.283761415761899
IFPE,2018,precipitacao_lag0_mm,precipitacao,238,-0.254234828309371,-0.160371795468926
IFPE,2018,precipitacao_lag1_mm,precipitacao,237,-0.0622853089249864,-0.0345888156718843
IFPE,2018,precipitacao_lag2_mm,precipitacao,238,-0.161058598605751,-0.0979800564306886
IPOJUCA,2021,temperatura_media_c,temperatura,249,0.388705313199037,0.407782695029032
IPOJUCA,2021,umidade_media_pct,umidade,242,-0.453165064479681,-0.4363893892292
IPOJUCA,2021,velocidade_vento_media_ms,vento,249,0.22220868390792,0.20952838275712
IPOJUCA,2021,pressao_media_hpa,pressao,249,-0.0677877040356305,-0.0769199132322485
IPOJUCA,2021,vento_u_medio_ms,vento_componente,249,-0.481166295583839,-0.475093247770435
IPOJUCA,2021,vento_v_medio_ms,vento_componente,249,-0.0697420526602827,-0.0351170326478965
IPOJUCA,2021,precipitacao_lag0_mm,precipitacao,259,-0.388212447130807,-0.237620380645985
IPOJUCA,2021,precipitacao_lag1_mm,precipitacao,258,-0.239069387724148,-0.154472613526403
IPOJUCA,2021,precipitacao_lag2_mm,precipitacao,257,-0.103619207041087,-0.0634563607985186
IPOJUCA,2025,temperatura_media_c,temperatura,312,0.472540757800809,0.32956128805022
IPOJUCA,2025,umidade_media_pct,umidade,184,-0.35538245284851,-0.222000490925712
IPOJUCA,2025,velocidade_vento_media_ms,vento,312,0.0213496355842665,0.00553466579782216
IPOJUCA,2025,pressao_media_hpa,pressao,312,-0.0885364601828819,-0.0748740271576997
IPOJUCA,2025,vento_u_medio_ms,vento_componente,312,-0.281222311101221,-0.194385563559263
IPOJUCA,2025,vento_v_medio_ms,vento_componente,312,-0.259374442517948,-0.207858323063805
IPOJUCA,2025,precipitacao_lag0_mm,precipitacao,287,-0.384979290296923,-0.212680208453964
IPOJUCA,2025,precipitacao_lag1_mm,precipitacao,289,-0.231792964004702,-0.167600548943008
IPOJUCA,2025,precipitacao_lag2_mm,precipitacao,289,-0.0802132532908797,-0.100656516216952
