estacao_historica,ano_alvo,classe_chuva,n_dias,mp10_media,mp10_mediana,mp10_sd,mp10_iqr,precip_media_mm
CUPE,2021,seco,113,14.7154995784414,13.4620833333333,5.39431678156234,5.8838537549407,0
CUPE,2021,chuvoso,192,12.5903839636799,11.5552990430622,5.08959892762491,5.25300724637681,10.55984375
Gaibu,2019,seco,86,48.1941209118831,45.8958333333334,15.1722707511109,16.9051535087719,0
Gaibu,2019,chuvoso,105,36.996706584513,35.7272727272727,13.6125345114215,13.4583333333333,7.37476190476191
IFPE,2018,seco,86,20.6113312454313,19.4583333333333,5.06740668668492,7.30208333333338,0
IFPE,2018,chuvoso,162,19.0506069001531,17.8958333333333,5.24049949572224,5.6050724637681,7.38604938271605
IPOJUCA,2021,seco,107,18.3695920762004,18.0483333333333,6.53923238367415,7.8129166666667,0
IPOJUCA,2021,chuvoso,180,13.4824341539302,11.9354356060606,6.00873946901012,8.45239583333337,9.58788888888889
IPOJUCA,2025,chuvoso,132,20.5665666649262,19.0953541666667,11.4536339215725,9.2771875,11.58
IPOJUCA,2025,seco,155,25.7924467966609,25.51025,5.65667290544671,8.04547916666665,0
